,time,train_coeff_0_mean_squared_error,train_coeff_1_mean_squared_error,train_coeff_2_mean_squared_error,train_coeff_3_mean_squared_error,valid_coeff_0_mean_squared_error,valid_coeff_1_mean_squared_error,valid_coeff_2_mean_squared_error,valid_coeff_3_mean_squared_error,learning_rate
68,21:54:03 2019-06-02,0.05064209178090096,0.03605038300156593,0.08920442312955856,0.02911451458930969,0.007188821211457253,0.04699960350990296,0.0039003915153443813,0.014424183405935763,6.25e-06
69,21:54:03 2019-06-02,0.043161768466234214,0.12798278033733368,0.02937390469014645,0.08506619185209274,0.005655397661030293,0.048165589570999146,0.0030605243518948555,0.011764947324991226,6.25e-06
70,21:54:04 2019-06-02,0.09435215592384336,0.0502503402531147,0.08598935604095459,0.08572327345609665,0.0055596008896827715,0.04750150442123413,0.003119646105915308,0.01055626943707466,3.125e-06
71,21:54:05 2019-06-02,0.04100605845451355,0.07706520706415176,0.0310426726937294,0.25964003801345825,0.005572822876274586,0.04762573540210724,0.0032389885745942593,0.010075090453028679,3.125e-06
72,21:54:05 2019-06-02,0.092598594725132,0.17954440414905548,0.11288672685623168,0.11920679360628128,0.005863852333277464,0.04646686464548111,0.003512504044920206,0.009974361397325993,3.125e-06
73,21:54:06 2019-06-02,0.04621662199497223,0.0988794043660164,0.2929948568344116,0.07569048553705215,0.006128796376287936,0.04366866499185562,0.0034613138996064663,0.009593301452696323,3.125e-06
74,21:54:06 2019-06-02,0.16631580889225006,0.30061933398246765,0.11067140102386476,0.04847188666462898,0.006055470556020737,0.04321122169494629,0.003034144174307585,0.009162465110421179,3.125e-06
75,21:54:07 2019-06-02,0.027988225221633908,0.016662823036313057,0.13820473849773407,0.12980835139751434,0.005593972746282816,0.040772762149572365,0.002993954811245203,0.008824553340673447,3.125e-06
76,21:54:08 2019-06-02,0.036262378096580505,0.03319856896996498,0.2116072177886963,0.2319326549768448,0.005441620945930481,0.04004931449890137,0.002959804842248559,0.009218458086252213,3.125e-06
77,21:54:08 2019-06-02,0.07091420143842697,0.12839169800281525,0.1942392736673355,0.07249315828084946,0.0054545653983950615,0.03974287956953049,0.0029337035957723856,0.009613706730306149,3.125e-06
